bdbid,energy_type,fiscal_year,end_date,usage,prepost,OAT,estimated
221,Fuel,2016,2015-11-30,137.22824830545312,1,53.4666666667,0
221,Fuel,2016,2015-12-31,200.5147998237665,1,50.35483870970001,0
221,Fuel,2016,2016-01-31,196.78012964555526,1,35.6451612903,1
221,Fuel,2016,2016-02-29,533.3977315760773,1,38.241379310300005,1
221,Fuel,2016,2016-03-31,165.75151578170912,1,48.35483870970001,1
221,Fuel,2016,2016-04-30,113.67708137251357,1,52.4666666667,1
221,Fuel,2016,2016-05-31,50.060708962557314,1,62.870967741899996,1
221,Fuel,2016,2016-06-30,3.5805106296409317,1,73.1333333333,1
221,Fuel,2017,2016-07-31,1.004597576993651,1,80.25806451609999,1
221,Fuel,2017,2016-08-31,1.7647856446127883,1,80.8064516129,1
221,Fuel,2017,2016-09-30,34.44885227003016,1,73.5666666667,1
221,Fuel,2017,2016-10-31,84.04899952046735,1,60.709677419399995,1
221,Fuel,2017,2016-11-30,106.26444047255768,1,52.1333333333,1
221,Fuel,2017,2016-12-31,282.916580040176,1,40.4516129032,1
221,Fuel,2017,2017-01-31,184.86099288501998,1,39.5483870968,1
221,Fuel,2017,2017-02-28,225.63867604676153,1,42.2142857143,1
221,Fuel,2017,2017-03-31,262.9375262854362,1,40.6451612903,1
221,Fuel,2017,2017-04-30,120.94395280235989,1,57.2121212121,1
221,Fuel,2017,2017-05-31,60.49986710898048,1,62.709677419399995,1
221,Fuel,2017,2017-06-30,19.265588444715696,1,73.4,1
222,Elec,2016,2015-07-31,0.05576156821391136,1,78.6129032258,1
222,Elec,2016,2015-08-31,0.05529612472016666,1,78.7741935484,0
222,Elec,2016,2015-09-30,0.048786973087227535,1,73.7333333333,0
222,Elec,2016,2015-10-31,0.034492799800308574,1,58.064516129,0
222,Elec,2016,2015-11-30,0.03685098384941996,1,53.4666666667,0
222,Elec,2016,2015-12-31,0.03979064059890281,1,50.35483870970001,0
222,Elec,2016,2016-01-31,0.040747320296692376,1,35.6451612903,0
222,Elec,2016,2016-02-29,0.04710408336362535,1,38.241379310300005,0
222,Elec,2016,2016-03-31,0.03957707360130751,1,48.35483870970001,0
222,Elec,2016,2016-04-30,0.03389363115606863,1,52.4666666667,0
222,Elec,2016,2016-05-31,0.03351765973933098,1,62.870967741899996,0
222,Elec,2016,2016-06-30,0.049612262207682056,1,73.1333333333,0
222,Elec,2017,2016-07-31,0.05742422582168186,1,80.25806451609999,0
222,Elec,2017,2016-08-31,0.05713431203161096,1,80.8064516129,0
222,Elec,2017,2016-09-30,0.04714379956110237,1,73.5666666667,0
222,Elec,2017,2016-10-31,0.031066400926041397,1,60.709677419399995,0
222,Elec,2017,2016-11-30,0.022827572954799414,1,52.1333333333,0
222,Elec,2017,2016-12-31,0.021883212230417358,1,40.4516129032,0
222,Elec,2017,2017-01-31,0.023526146894775314,1,39.5483870968,0
222,Elec,2017,2017-02-28,0.01984126984126984,1,42.2142857143,0
222,Elec,2017,2017-03-31,0.02017401027327239,1,40.6451612903,0
222,Elec,2017,2017-04-30,0.02230089192823748,1,57.2121212121,0
222,Elec,2017,2017-05-31,0.029176654655952514,1,62.709677419399995,0
222,Elec,2017,2017-06-30,0.04397256216594638,1,73.4,0
223,Elec,2016,2015-07-31,0.04448611430453453,1,78.6129032258,0
223,Elec,2016,2015-08-31,0.051977713011698644,1,78.7741935484,0
223,Elec,2016,2015-09-30,0.04552846316987378,1,73.7333333333,0
223,Elec,2016,2015-10-31,0.02270604960405002,1,58.064516129,0
223,Elec,2016,2015-11-30,0.023268024219897942,1,53.4666666667,0
223,Elec,2016,2015-12-31,0.02077156927527424,1,50.35483870970001,0
223,Elec,2016,2016-01-31,0.020291131034620852,1,35.6451612903,0
223,Elec,2016,2016-02-29,0.02138617318435754,1,38.241379310300005,0
223,Elec,2016,2016-03-31,0.0213510563154177,1,48.35483870970001,0
223,Elec,2016,2016-04-30,0.021527643999229424,1,52.4666666667,0
223,Elec,2016,2016-05-31,0.025606670612702297,1,62.870967741899996,0
223,Elec,2016,2016-06-30,0.03998971911855989,1,73.1333333333,0
223,Elec,2017,2016-07-31,0.053173606925137167,1,80.25806451609999,0
223,Elec,2017,2016-08-31,0.05128778251440148,1,80.8064516129,1
223,Elec,2017,2016-09-30,0.03623719739292365,1,73.5666666667,1
223,Elec,2017,2016-10-31,0.03414210586674093,1,60.709677419399995,0
223,Elec,2017,2016-11-30,0.022841073679062504,1,52.1333333333,0
223,Elec,2017,2016-12-31,0.022656734947237744,1,40.4516129032,0
223,Elec,2017,2017-01-31,0.022192437075749385,1,39.5483870968,0
223,Elec,2017,2017-02-28,0.01905842644320298,1,42.2142857143,0
223,Elec,2017,2017-03-31,0.022252119570058182,1,40.6451612903,0
223,Elec,2017,2017-04-30,0.0216434579996514,1,57.2121212121,0
223,Elec,2017,2017-05-31,0.026447279218048722,1,62.709677419399995,0
223,Elec,2017,2017-06-30,0.03782071177322573,1,73.4,1
224,Elec,2016,2015-07-31,0.03276070414054926,1,78.6129032258,0
224,Elec,2016,2015-08-31,0.037592190809737275,1,78.7741935484,0
224,Elec,2016,2015-09-30,0.031224127567395905,1,73.7333333333,0
224,Elec,2016,2015-10-31,0.02111963515652506,1,58.064516129,0
224,Elec,2016,2015-11-30,0.019344691835194276,1,53.4666666667,0
224,Elec,2016,2015-12-31,0.016816001129055173,1,50.35483870970001,0
224,Elec,2016,2016-01-31,0.016823232040530295,1,35.6451612903,0
224,Elec,2016,2016-02-29,0.01633153006022252,1,38.241379310300005,0
224,Elec,2016,2016-03-31,0.022335501901049583,1,48.35483870970001,1
224,Elec,2016,2016-04-30,0.015613505893781698,1,52.4666666667,1
224,Elec,2016,2016-05-31,0.0192581540988405,1,62.870967741899996,0
224,Elec,2016,2016-06-30,0.03316236262801537,1,73.1333333333,0
224,Elec,2017,2016-07-31,0.04139288967599557,1,80.25806451609999,0
224,Elec,2017,2016-08-31,0.04260089380611055,1,80.8064516129,0
224,Elec,2017,2016-09-30,0.03725346761480271,1,73.5666666667,0
224,Elec,2017,2016-10-31,0.022078696063819882,1,60.709677419399995,0
224,Elec,2017,2016-11-30,0.01653526177360004,1,52.1333333333,0
224,Elec,2017,2016-12-31,0.015975924163749926,1,40.4516129032,0
224,Elec,2017,2017-01-31,0.016384212415255495,1,39.5483870968,0
224,Elec,2017,2017-02-28,0.015821169745840562,1,42.2142857143,0
224,Elec,2017,2017-03-31,0.015495878911423589,1,40.6451612903,0
224,Elec,2017,2017-04-30,0.016470810658334625,1,57.2121212121,0
224,Elec,2017,2017-05-31,0.025650897552104958,1,62.709677419399995,1
224,Elec,2017,2017-06-30,0.03345638687580097,1,73.4,1
224,Fuel,2016,2015-07-31,2.770365221561663,1,78.6129032258,0
224,Fuel,2016,2015-08-31,2.3523332116017226,1,78.7741935484,0
224,Fuel,2016,2015-09-30,2.4822069835849567,1,73.7333333333,0
224,Fuel,2016,2015-10-31,35.86430796560613,1,58.064516129,0
224,Fuel,2016,2015-11-30,83.24863769704375,1,53.4666666667,0
224,Fuel,2016,2015-12-31,123.77110674153548,1,50.35483870970001,1
224,Fuel,2016,2016-01-31,179.67426938902742,1,35.6451612903,1
224,Fuel,2016,2016-02-29,259.075320969708,1,38.241379310300005,1
224,Fuel,2016,2016-03-31,145.53500577859577,1,48.35483870970001,0
224,Fuel,2016,2016-04-30,68.16536612779655,1,52.4666666667,1
224,Fuel,2016,2016-05-31,38.048241368751164,1,62.870967741899996,1
224,Fuel,2016,2016-06-30,10.778171889353883,1,73.1333333333,1
224,Fuel,2017,2016-07-31,2.8739300091546207,1,80.25806451609999,0
224,Fuel,2017,2016-08-31,2.345062779477656,1,80.8064516129,0
224,Fuel,2017,2016-09-30,2.289026767183346,1,73.5666666667,0
224,Fuel,2017,2016-10-31,20.774545861636383,1,60.709677419399995,0
224,Fuel,2017,2016-11-30,120.99106485307658,1,52.1333333333,0
224,Fuel,2017,2016-12-31,200.75522174013852,1,40.4516129032,0
224,Fuel,2017,2017-01-31,211.1807871841392,1,39.5483870968,0
224,Fuel,2017,2017-02-28,171.54182281262,1,42.2142857143,0
224,Fuel,2017,2017-03-31,169.8731562547675,1,40.6451612903,0
224,Fuel,2017,2017-04-30,91.78313222468401,1,57.2121212121,0
224,Fuel,2017,2017-05-31,24.216652017503453,1,62.709677419399995,0
224,Fuel,2017,2017-06-30,0.2639794729561829,1,73.4,0
226,Elec,2016,2015-07-31,0.05984993491398114,1,78.6129032258,0
226,Elec,2016,2015-08-31,0.06277519233043935,1,78.7741935484,0
226,Elec,2016,2015-09-30,0.05613011579598691,1,73.7333333333,0
226,Elec,2016,2015-10-31,0.04025156564838683,1,58.064516129,0
226,Elec,2016,2015-11-30,0.042388183979047984,1,53.4666666667,0
226,Elec,2016,2015-12-31,0.037053373971037334,1,50.35483870970001,0
226,Elec,2016,2016-01-31,0.0371134549747222,1,35.6451612903,0
226,Elec,2016,2016-02-29,0.03898170246618934,1,38.241379310300005,0
226,Elec,2016,2016-03-31,0.03883038079081946,1,48.35483870970001,0
226,Elec,2016,2016-04-30,0.038625078868680204,1,52.4666666667,0
226,Elec,2016,2016-05-31,0.03807310872241144,1,62.870967741899996,0
226,Elec,2016,2016-06-30,0.0385985149827632,1,73.1333333333,0
226,Elec,2017,2016-07-31,0.06955204359480123,1,80.25806451609999,0
226,Elec,2017,2016-08-31,0.07016104696900914,1,80.8064516129,0
226,Elec,2017,2016-09-30,0.05945902943516309,1,73.5666666667,0
226,Elec,2017,2016-10-31,0.04551979102752834,1,60.709677419399995,0
226,Elec,2017,2016-11-30,0.047127118439767614,1,52.1333333333,0
226,Elec,2017,2016-12-31,0.04566599088117294,1,40.4516129032,0
226,Elec,2017,2017-01-31,0.047717299253214274,1,39.5483870968,0
226,Elec,2017,2017-02-28,0.04474940334128878,1,42.2142857143,0
226,Elec,2017,2017-03-31,0.04569029674092048,1,40.6451612903,0
226,Elec,2017,2017-04-30,0.05356329676961723,1,57.2121212121,0
226,Elec,2017,2017-05-31,0.06314867158658057,1,62.709677419399995,0
226,Elec,2017,2017-06-30,0.07017236807212941,1,73.4,0
226,Fuel,2016,2015-07-31,0.0,1,78.6129032258,0
226,Fuel,2016,2015-08-31,0.16556606624132744,1,78.7741935484,0
226,Fuel,2016,2015-09-30,6.120121092737179,1,73.7333333333,0
226,Fuel,2016,2015-10-31,24.848611955474254,1,58.064516129,0
226,Fuel,2016,2015-11-30,69.4373576934683,1,53.4666666667,0
226,Fuel,2016,2015-12-31,169.12047750811772,1,50.35483870970001,0
226,Fuel,2016,2016-01-31,272.158305688628,1,35.6451612903,0
226,Fuel,2016,2016-02-29,312.6132185326973,1,38.241379310300005,0
226,Fuel,2016,2016-03-31,230.2717684194317,1,48.35483870970001,0
226,Fuel,2016,2016-04-30,144.02838358068377,1,52.4666666667,0
226,Fuel,2016,2016-05-31,15.928597407355293,1,62.870967741899996,0
226,Fuel,2016,2016-06-30,0.0,1,73.1333333333,0
226,Fuel,2017,2016-07-31,0.0,1,80.25806451609999,0
226,Fuel,2017,2016-08-31,0.0,1,80.8064516129,0
226,Fuel,2017,2016-09-30,0.0,1,73.5666666667,0
226,Fuel,2017,2016-10-31,24.919405721729166,1,60.709677419399995,0
226,Fuel,2017,2016-11-30,164.25259923737414,1,52.1333333333,0
226,Fuel,2017,2016-12-31,341.0205657889183,1,40.4516129032,0
226,Fuel,2017,2017-01-31,410.93438510359545,1,39.5483870968,0
226,Fuel,2017,2017-02-28,395.0149570568083,1,42.2142857143,0
226,Fuel,2017,2017-03-31,302.59630357200496,1,40.6451612903,0
226,Fuel,2017,2017-04-30,132.57371622141812,1,57.2121212121,0
226,Fuel,2017,2017-05-31,0.0,1,62.709677419399995,0
226,Fuel,2017,2017-06-30,0.0,1,73.4,0
227,Elec,2016,2015-07-31,0.05695467334581227,1,78.6129032258,0
227,Elec,2016,2015-08-31,0.05613804899513465,1,78.7741935484,0
227,Elec,2016,2015-09-30,0.04986954337618668,1,73.7333333333,0
227,Elec,2016,2015-10-31,0.034243185257819636,1,58.064516129,0
227,Elec,2016,2015-11-30,0.030798404082697538,1,53.4666666667,0
227,Elec,2016,2015-12-31,0.029716231419914398,1,50.35483870970001,0
227,Elec,2016,2016-01-31,0.03220374548333522,1,35.6451612903,0
227,Elec,2016,2016-02-29,0.02964107768961063,1,38.241379310300005,0
227,Elec,2016,2016-03-31,0.028807304911795322,1,48.35483870970001,0
227,Elec,2016,2016-04-30,0.03114202264064499,1,52.4666666667,0
227,Elec,2016,2016-05-31,0.032367036142144784,1,62.870967741899996,0
227,Elec,2016,2016-06-30,0.04738035922987022,1,73.1333333333,0
227,Elec,2017,2016-07-31,0.05577992483497999,1,80.25806451609999,0
227,Elec,2017,2016-08-31,0.056507189202248696,1,80.8064516129,0
227,Elec,2017,2016-09-30,0.04803879354534458,1,73.5666666667,0
227,Elec,2017,2016-10-31,0.027843814448889764,1,60.709677419399995,0
227,Elec,2017,2016-11-30,0.029828456180181595,1,52.1333333333,0
227,Elec,2017,2016-12-31,0.027791502221375598,1,40.4516129032,0
227,Elec,2017,2017-01-31,0.027620856127484536,1,39.5483870968,0
227,Elec,2017,2017-02-28,0.027219044104078244,1,42.2142857143,0
227,Elec,2017,2017-03-31,0.027399166735260397,1,40.6451612903,0
227,Elec,2017,2017-04-30,0.026947240006654195,1,57.2121212121,0
227,Elec,2017,2017-05-31,0.03467595242205484,1,62.709677419399995,0
227,Elec,2017,2017-06-30,0.03730444321420515,1,73.4,0
227,Fuel,2016,2015-07-31,20.47945151554663,1,78.6129032258,1
227,Fuel,2016,2015-08-31,16.836979917463875,1,78.7741935484,1
227,Fuel,2016,2015-09-30,18.635208599796794,1,73.7333333333,1
227,Fuel,2016,2015-10-31,56.018832586317,1,58.064516129,1
227,Fuel,2016,2015-11-30,75.48428062306243,1,53.4666666667,1
227,Fuel,2016,2015-12-31,121.8322102235584,1,50.35483870970001,1
227,Fuel,2016,2016-01-31,224.89656396177537,1,35.6451612903,1
227,Fuel,2016,2016-02-29,192.1689808611604,1,38.241379310300005,1
227,Fuel,2016,2016-03-31,226.28774498574225,1,48.35483870970001,1
